Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
"""Meža m?ja""",15305,5514,56.94951,23.5123491,Kreis?,,T?ristu iela,J?rmala,,
"""Meža m?ja""",15306,5514,56.949758,23.5132277,Lab?,,T?ristu iela,J?rmala,,
1.vidusskola,11560,301,56.8166902,24.6076858,Kreis?,,Kalna prospekts,Ogres novads,Ogres pils?ta,Ogre
1.vidusskola,11528,301,56.8168269,24.6074461,Lab?,,Kalna prospekts,Ogres novads,Ogres pils?ta,Ogre
16. kilometrs,15307,5515,57.0203459,24.3405732,Lab?,A2,,Garkalnes novads,,
18. kilometrs,15308,5517,57.0279989,24.3632728,Kreis?,A2,,Garkalnes novads,,
18. kilometrs,15309,5517,57.0280886,24.3647022,Lab?,A2,,Garkalnes novads,,
25.CR,12580,721,56.4823655,23.0859993,Lab?,P96,,Auces novads,B?nes pagasts,B?ne
25.CR,13029,721,56.4825882,23.0851327,Kreis?,P96,,Auces novads,B?nes pagasts,B?ne
6.l?nija,15310,5519,56.6524624,23.6416042,Kreis?,P97,Dobeles šoseja,Jelgava,,
A. Pumpura iela,15311,5520,56.8185385,24.5886998,Kreis?,,Andreja Pumpura iela,Ogres novads,Ogres pils?ta,Ogre
A. Pumpura iela,15312,5520,56.818903,24.5888263,Lab?,,Andreja Pumpura iela,Ogres novads,Ogres pils?ta,Ogre
A.Up?ša iela,15313,5533,56.8198995,24.5767975,Lab?,,Jaunogres prospekts,Ogres novads,Ogres pils?ta,Ogre
A.Up?ša iela,15314,5533,56.8199419,24.577444,Kreis?,,Jaunogres prospekts,Ogres novads,Ogres pils?ta,Ogre
A/S J?rmalas celtnieks,11892,333,56.9621928,23.7722089,Kreis?,,Slokas iela,J?rmala,,
A/S J?rmalas celtnieks,11841,333,56.9630515,23.7721544,Lab?,,Slokas iela,J?rmala,,
A/s Prei?u siers,13030,730,56.2791336,26.7195925,Kreis?,V752,Andreja Up?ša iela 1,Prei?u novads,Prei?u pagasts,
A/S Ruks,15315,781,57.301192,25.2633468,Lab?,,Kr?mi?u iela 19,C?su novads,C?su pils?ta,C?sis
AAS,15316,5534,57.4964302,22.8224457,Lab?,P131,,Rojas novads,,Roja
AAS,15317,5534,57.495846,22.822574,Kreis?,P131,Selgas iela ,Rojas novads,,Roja
?beles,13031,733,56.7193466,24.1112348,Kreis?,V7,,Olaines novads,Olaines pagasts,D?vi
?beles,13032,733,56.7202383,24.1114136,Lab?,V7,,Olaines novads,Olaines pagasts,D?vi
?bel?tes,13033,738,56.8096453,24.6480498,Lab?,V967,J.?akstes prospekts,Ogres novads,Ogres pils?ta,Ogre
?bel?tes,13034,739,57.3246764,26.8407863,Lab?,V396,,Al?ksnes novads,Kalncempju pagasts,
?bel?tes,13035,739,57.3247004,26.8407637,Kreis?,V396,,Al?ksnes novads,Kalncempju pagasts,
?boli,13036,741,55.8710866,26.3139195,Kreis?,V696,,Daugavpils novads,Sventes pagasts,
?boli,13037,741,55.8712715,26.3138599,Lab?,V696,,Daugavpils novads,Sventes pagasts,
Acone,15318,5535,56.9146774,24.2859596,Kreis?,V35,,Salaspils novads,,Acone
Acone,15319,5535,56.9147829,24.284418,Lab?,V35,,Salaspils novads,,Acone
?dažu iela,15321,5539,57.0131794,24.2595867,Lab?,,?dažu iela,Garkalnes novads,,Bukulti
?dažu iela,15322,5539,57.0142902,24.2594762,Kreis?,,?dažu iela,Garkalnes novads,,Bukulti
?di?as,13120,922,56.879614,24.1729634,Lab?,V2,,?ekavas novads,?ekavas pagasts,Katlakalns
?di?as,13121,922,56.8797002,24.172881,Kreis?,V2,,?ekavas novads,?ekavas pagasts,Katlakalns
Adzelvieši,13276,1345,57.7258893,25.3287501,Lab?,V231,,Burtnieku novads,Burtnieku pagasts,
Adzelvieši,13277,1345,57.7258992,25.3287443,Kreis?,V231,,Burtnieku novads,Burtnieku pagasts,
Aizcirtums,13777,2531,57.4208406,27.1696184,Kreis?,V400,,Al?ksnes novads,Jaunal?ksnes pagasts,
Aizcirtums,13778,2531,57.4210219,27.1694766,Lab?,V400,,Al?ksnes novads,Jaunal?ksnes pagasts,
Aizelkš?i,13253,1248,56.7968777,27.637501,Kreis?,P48,,K?rsavas novads,Salnavas pagasts,
Aizelkš?i,13254,1248,56.7969744,27.6397803,Lab?,P48,,K?rsavas novads,Salnavas pagasts,
Aizkl??i,15324,5542,57.6672248,22.5702412,Kreis?,P131,,Rojas novads,,Melnsils
Aizkl??i,15325,5542,57.6678935,22.5705806,Lab?,P131,,Rojas novads,,Melnsils
Aizkraukles iela,15326,5543,56.519732,25.85009,Kreis?,A6,R?gas iela,J?kabpils,,
Aizkraukles iela,15327,5543,56.5204634,25.8488672,Lab?,A6,R?gas iela,J?kabpils,,
Aizkraukles KN,15328,5550,56.6155191,25.2247657,Lab?,,Kalna iela 20,Aizkraukles novads,Aizkraukles pagasts,Aizkraukle
Aizkraukles KN,15329,5550,56.6155212,25.2254486,Kreis?,,Kalna iela 20,Aizkraukles novads,Aizkraukles pagasts,Aizkraukle
Aizkraukles pagasts,15330,8281,56.6169493,25.2188174,A/V,,Kalna iela 4,Aizkraukles novads,Aizkraukles pagasts,Aizkraukle
Aizmeži,13383,1655,57.590625,25.2290635,Kreis?,V216,,Koc?nu novads,B?rzaines pagasts,
Aizmeži,13384,1655,57.5906297,25.2290373,Lab?,V216,,Koc?nu novads,B?rzaines pagasts,
Aizp?re,15018,4854,56.5832098,27.984695,Kreis?,V509,,Ciblas novads,L?dumnieku pagasts,
Aizp?re,15019,4854,56.5832334,27.9847476,Lab?,V509,,Ciblas novads,L?dumnieku pagasts,
Aizupes,9177,203,56.69463,23.8024502,A/V,P100,R?gas iela,Ozolnieku novads,Ozolnieku pagasts,Ozolnieki
Aizupes skola,9329,205,56.4782976,27.4524945,Kreis?,V579,,R?zeknes novads,Grišk?nu pagasts,
Aizupes skola,9270,205,56.4794123,27.4510024,Lab?,V579,,R?zeknes novads,Grišk?nu pagasts,
Akme?druvas,13996,2894,57.5039362,27.3596585,Lab?,V392,,Al?ksnes novads,Pededzes pagasts,
Akme?druvas,13997,2894,57.5039683,27.3593982,Kreis?,V392,,Al?ksnes novads,Pededzes pagasts,
Akme?druvas,13998,2896,57.4306154,27.4419835,Lab?,P42,,Al?ksnes novads,Pededzes pagasts,
Akme?druvas,13999,2896,57.4307021,27.4420485,Kreis?,P42,,Al?ksnes novads,Pededzes pagasts,
Akme?dziras ,15194,5189,57.4820026,21.6711893,Lab?,P124,,Ventspils novads,T?rgales pagasts,
Akme?kalni,14529,3849,57.9994577,25.0426969,Kreis?,V170,,Mazsalacas novads,Ramatas pagasts,
Akme?kalni,14530,3849,58.000046,25.0415314,Lab?,V170,,Mazsalacas novads,Ramatas pagasts,
Akme?kalni,13842,2676,57.7441832,24.394971,Lab?,P12,,Salacgr?vas novads,Salacgr?vas pagasts,
Akme?kalni,13843,2676,57.7444896,24.3942193,Kreis?,P12,,Salacgr?vas novads,Salacgr?vas pagasts,
Akme?u iela,15331,5556,56.4981352,25.862146,Kreis?,,Pasta iela 73-75,J?kabpils,,
Akme?u iela,14446,3741,56.8044805,24.6103194,Kreis?,A6,Daugavpils Iela,Ogres novads,Ogres pils?ta,Ogre
Akme?u iela,14447,3741,56.8046178,24.6106361,Lab?,A6,Daugavpils Iela,Ogres novads,Ogres pils?ta,Ogre
akn?ste,13603,2077,56.1607313,25.7490033,A/V,P73,Augšzemes iela 19,Akn?stes novads,Akn?stes pils?ta,Akn?ste
Akn?stes vidusskola,11575,9609,56.1633306,25.7369725,A/V,,Skolas iela 19,Akn?stes novads,Akn?stes pils?ta,Akn?ste
Aksenova,15197,5192,56.196339,27.6890991,Kreis?,P49,,Dagdas novads,Ezernieku pagasts,
Aksenova,15198,5192,56.1965175,27.6893483,Lab?,P49,,Dagdas novads,Ezernieku pagasts,
Akur?tera iela,15332,5557,56.4884222,25.8833255,Lab?,,Br?v?bas iela 6,J?kabpils,,
?lande,14904,4623,56.5076003,21.1715455,Kreis?,P113,,Grobi?as novads,Grobi?as pagasts,
?lande,14905,4623,56.5078562,21.1714573,Lab?,P113,,Grobi?as novads,Grobi?as pagasts,
Albatross,13472,1886,57.1097984,23.2209854,Kreis?,P131,,Engures novads,Engures pagasts,
Albatross,13473,1886,57.1102983,23.2209619,Lab?,P131,,Engures novads,Engures pagasts,
Aldaunas iela ,15333,5563,56.479154,25.8780465,Lab?,,Aldaunas iela 19,J?kabpils,,
Alejas,15241,5358,56.5354648,21.3957234,Kreis?,V1206,,Durbes novads,Tadai?u pagasts,
Alejas,15242,5358,56.5354925,21.395967,Lab?,V1206,,Durbes novads,Tadai?u pagasts,
Alekši,14408,3701,57.2219556,21.4584432,Lab?,P111,,Ventspils novads,Užavas pagasts,
Alekši,14409,3701,57.221679,21.4579677,Kreis?,P111,,Ventspils novads,Užavas pagasts,Užava
Alkš?i,13517,1954,56.1230943,26.0680342,A/V,V708,,J?kabpils novads,Rubenes pagasts,
Alkš?i,14281,3497,56.8664388,22.7622913,Kreis?,V1459,,Kandavas novads,Zantes pagasts,
Alkš?i,14282,3497,56.8675904,22.7604679,Lab?,V1459,,Kandavas novads,Zantes pagasts,
Alkš?i,15123,4990,56.7447566,24.6684891,Kreis?,P85,,?eguma novads,Tomes pagasts,
Alkš?i,15124,4990,56.744829,24.6680702,Lab?,P85,,?eguma novads,Tomes pagasts,
Alkš?u iela,15334,5565,56.8755213,23.9457984,Lab?,,Ozolu iela,M?rupes novads,,Jaunm?rupe
Alm?le,15335,5570,56.9815737,21.6358802,A/V,V1285,,Alsungas novads,,
Altkirha,14399,3682,55.8441174,26.443279,Lab?,A13,,Daugavpils novads,Kalk?nes pagasts,
Altkirha,14400,3682,55.8441381,26.44327,Kreis?,A13,,Daugavpils novads,Kalk?nes pagasts,
A?kovka,14028,2923,56.5545615,27.265754,Kreis?,V575,,R?zeknes novads,Audri?u pagasts,
A?kovka,14029,2923,56.5545615,27.265754,Lab?,V575,,R?zeknes novads,Audri?u pagasts,
Amatas pagrieziens,14492,3804,57.2320535,25.2734553,Lab?,P31,,Amatas novads,Drabešu pagasts,
Amatas pagrieziens,14493,3804,57.2320919,25.2735271,Kreis?,P31,,Amatas novads,Drabešu pagasts,
Amatnieki,15336,5572,56.9685253,24.3386475,Kreis?,,,Garkalnes novads,,Amatnieki
Amatnieki,15337,5572,56.9698078,24.3399085,Lab?,,,Garkalnes novads,,Amatnieki
Amatnieku iela,13632,2190,56.812455,24.6389221,Lab?,V996,Br?v?bas iela,Ogres novads,Ogres pils?ta,Ogre
Amatnieku iela,13633,2190,56.81264,24.6405825,Kreis?,V996,Br?v?bas iela,Ogres novads,Ogres pils?ta,Ogre
Ambulance,14569,3908,57.1861285,25.6850693,Kreis?,V325,,Vecpiebalgas novads,Dz?rbenes pagasts,Dz?rbene
Ambulance,14570,3908,57.186332,25.685152,Lab?,V325,,Vecpiebalgas novads,Dz?rbenes pagasts,Dz?rbene
Ant?ni,13438,1818,56.0909359,26.8564479,Lab?,V684,,Daugavpils novads,Viš?u pagasts,
Ant?ni,13439,1818,56.0915186,26.8570037,Kreis?,V684,,Daugavpils novads,Viš?u pagasts,
Antaniš?i,13461,1852,56.2262839,26.8938928,Kreis?,V744,,Riebi?u novads,Rušonas pagasts,
Antaniš?i,13462,1852,56.2264239,26.8940208,Lab?,V744,,Riebi?u novads,Rušonas pagasts,
Ant?ni,13849,2696,56.5044813,22.9145456,Lab?,V1128,,Auces novads,Lielauces pagasts,
Ant?ni,13850,2696,56.5045304,22.9145021,Kreis?,V1128,,Auces novads,Lielauces pagasts,
Anti??ni,15110,4982,56.8956676,26.0028601,Kreis?,V884,,Madonas novads,Aronas pagasts,
Anti??ni,15111,4982,56.8957041,26.0029157,Lab?,V884,,Madonas novads,Aronas pagasts,
Antskalni,14247,3414,57.0081519,26.0902783,Kreis?,V840,,Madonas novads,Liez?res pagasts,
Antskalni,14248,3414,57.0085287,26.0900992,Lab?,V840,,Madonas novads,Liez?res pagasts,
Apes pagrieziens,15338,1788,57.5192639,26.7032901,Kreis?,P19,,Apes novads,Apes pagasts,
Aps?ni,13048,7526,56.2102135,26.9411628,Lab?,V744,,Riebi?u novads,Rušonas pagasts,
Apši,15028,4861,56.5825336,27.5415596,Kreis?,V550,,R?zeknes novads,Lendžu pagasts,
Apši,15029,4861,56.5826389,27.5415307,Lab?,V550,,R?zeknes novads,Lendžu pagasts,
?pši,15339,5574,56.7690624,24.6579492,Lab?,,Pionieru iela,Ogres novads,Ogresgala pagasts,Ciemupe
Apšukalni,13948,2847,56.8160908,24.0627968,Kreis?,V7,,Olaines novads,Olaines pagasts,Apšukalni
Apšukalni,13949,2847,56.816466,24.062991,Lab?,V7,,Olaines novads,Olaines pagasts,Apšukalni
Aptekas,13819,2645,56.3759018,26.397678,Kreis?,V761,,L?v?nu novads,Rudz?tu pagasts,Rudz?ti
Aptekas,13820,2645,56.4104496,26.4376806,Lab?,V761,,L?v?nu novads,Rudz?tu pagasts,Rudz?ti
Aptieka,15139,5000,56.9145942,22.5547835,Kreis?,V1430,,Kandavas novads,V?nes pagasts,
Aptieka,15199,5197,56.7131594,26.1896808,Kreis?,P82,Aiviekstes iela 10,Madonas novads,?audonas pagasts,?audona
Aptieka,15200,5197,56.7133886,26.1890508,Lab?,P82,Aiviekstes iela 7,Madonas novads,?audonas pagasts,?audona
Apvedce?š,15340,5575,56.9858412,24.3217467,Kreis?,,,Garkalnes novads,,Upesciems
Ar?ji,13126,930,57.1037667,25.633422,Kreis?,V309,,Vecpiebalgas novads,Taurenes pagasts,
Ar?ji,13127,930,57.1037762,25.6334497,Lab?,V309,,Vecpiebalgas novads,Taurenes pagasts,
?rdava,13634,2203,56.1416046,26.8297349,Kreis?,V747,,Prei?u novads,Pel??u pagasts,?rdava
Arodskola,15341,5576,56.6081633,25.2587349,Lab?,,Jaunceltnes iela 21,Aizkraukles novads,Aizkraukles pils?ta,Aizkraukle
Aronieši,14224,3372,56.6840124,26.004673,Kreis?,P82,,Madonas novads,Kalsnavas pagasts,
Aronieši,14225,3372,56.6840966,26.0055633,Lab?,P82,,Madonas novads,Kalsnavas pagasts,
Aronm?rnieki,13168,983,56.7372325,26.0890065,Lab?,V877,,Madonas novads,M?rcienas pagasts,
Aronm?rnieki,13169,983,56.7374613,26.0890956,Kreis?,V877,,Madonas novads,M?rcienas pagasts,
Asfalta r?pn?ca,15342,5580,56.9478725,23.6290025,Lab?,,Ventspils šoseja,J?rmala,,
Asfalta r?pn?ca,15343,5580,56.9479116,23.6281088,Kreis?,,Ventspils šoseja,J?rmala,,
As?te,13701,2410,56.4804235,21.7287723,Kreis?,P106,,Priekules novads,Priekules pagasts,As?te
As?te,13702,2410,56.480445,21.7288671,Lab?,P106,,Priekules novads,Priekules pagasts,As?te
Aspazijas muzejs,15344,5581,56.9719973,23.7821329,Lab?,,Zigfr?da Meierovica prospekts,J?rmala,,
Aspazijas muzejs,15345,5581,56.9720356,23.7831874,Kreis?,,Zigfr?da Meierovica prospekts,J?rmala,,
Asti?i,13851,2700,56.2937339,27.5044315,Lab?,P56,,R?zeknes novads,Kaunatas pagasts,
Asti?i,13852,2700,56.2945282,27.5050676,Kreis?,P56,,R?zeknes novads,Kaunatas pagasts,
As?ne,15284,1052,56.0258229,27.6208926,Kreis?,V606,D?rza iela 2,Dagdas novads,As?nes pagasts,Asúne
Ataugas,13623,2176,55.8403904,26.4808957,Lab?,V695,Kalk?nes iela 25,Daugavpils novads,Kalk?nes pagasts,Kalk?ni
Ataugas,13624,2176,55.8406025,26.4810359,Kreis?,V695,Kalk?nes iela 25,Daugavpils novads,Kalk?nes pagasts,Kalk?ni
Atbalss iela,15346,5592,56.9464969,23.6432416,Kreis?,,J?rkalnes iela,J?rmala,,
Atbalss iela,15347,5592,56.9466481,23.6429984,Lab?,,J?rkalnes iela,J?rmala,,
Atpili,14733,4073,57.5571102,25.7327833,Kreis?,V241,,Bever?nas novads,Trik?tas pagasts,
Atpili,14734,4073,57.5574759,25.7338654,Lab?,V241,,Bever?nas novads,Trik?tas pagasts,
Atp?tas,14771,4158,56.9801696,23.2445056,Lab?,V1446,,Engures novads,Sm?rdes pagasts,
Atp?tas,14772,4158,56.9803476,23.2462544,Kreis?,V1446,,Engures novads,Sm?rdes pagasts,
Atp?tas,13805,2631,57.0340916,23.4384639,Kreis?,P128,,Engures novads,Lapmežciema pagasts,
Atp?tas,13806,2631,57.0342844,23.437572,Lab?,P128,,Engures novads,Lapmežciema pagasts,
Att?r?šanas iek?rtas,15348,5597,56.9354666,23.6591027,Lab?,,Mežmalas iela,J?rmala,,
Att?r?šanas iek?rtas,15349,5598,56.9355742,23.6587974,Kreis?,,Mežmalas iela,J?rmala,,
Atvari,13765,2514,57.4643881,26.0991683,Lab?,V244,,Smiltenes novads,Bilskas pagasts,
Atvari,13766,2514,57.4643938,26.0991822,Kreis?,V244,,Smiltenes novads,Bilskas pagasts,
Auces Meliorators,11694,303,56.4703057,22.9166544,Lab?,P96,,Auces novads,Auces pils?ta,Auce
Auces Meliorators,11600,303,56.4704024,22.9169889,Kreis?,P96,,Auces novads,Auces pils?ta,Auce
Audari,14336,3607,56.4775765,21.668798,Lab?,P106,,Priekules novads,Priekules pagasts,Audari
Audari,14337,3607,56.4778625,21.6680931,Kreis?,P106,,Priekules novads,Priekules pagasts,Audari
Augst?res,15350,7637,57.1678783,25.8587557,Lab?,,,Jaunpiebalgas novads,Zos?nu pagasts,
Augstežas,15055,4885,57.5212551,27.0660262,Kreis?,V386,,Al?ksnes novads,Ziemera pagasts,
Augstežas,15056,4885,57.5212967,27.066154,Lab?,V386,,Al?ksnes novads,Ziemera pagasts,
Augstkalne,14379,3660,55.916575,27.1515534,Kreis?,P62,,Kr?slavas novads,?dr?šu pagasts,Augstkalne
Augstkalne,14380,3660,55.9149122,27.1529862,Lab?,P62,Stacijas iela 26,Kr?slavas novads,?dr?šu pagasts,Augstkalne
Augškalni,11703,320,56.2987977,24.5516265,Lab?,,,Bauskas novads,Brunavas pagasts,
Augšmukti,14969,4770,56.2602484,26.3643839,Kreis?,V682,,V?rkavas novads,Rožkalnu pagasts,
Augšmukti,14970,4770,56.2605363,26.364333,Lab?,V682,,V?rkavas novads,Rožkalnu pagasts,
Augšupes,15078,4934,56.2676258,26.3685246,Kreis?,V682,,V?rkavas novads,Rožkalnu pagasts,
Augšupes,15079,4934,56.2760618,26.3629566,Lab?,V682,,V?rkavas novads,Rožkalnu pagasts,
Aurora,15351,5599,56.8340187,24.1039964,Lab?,,,Olaines novads,Olaines pagasts,
Ausmas,14416,3706,57.164251,24.7992569,Lab?,P7,,Krimuldas novads,Krimuldas pagasts,
Ausmas,14417,3706,57.1642963,24.8006827,Kreis?,P7,,Krimuldas novads,Krimuldas pagasts,
Ausmas iela,11763,322,56.6105116,23.2855624,Kreis?,,Meža prospekts 36,Dobeles novads,Dobeles pils?ta,Dobele
Ausmas iela,11720,322,56.6109823,23.2853048,Lab?,,Meža prospekts 39,Dobeles novads,Dobeles pils?ta,Dobele
Austrumi,12723,539,55.7086547,26.5625423,Lab?,V691,,Daugavpils novads,Demenes pagasts,
Austrumi,12696,539,55.7091167,26.5608081,Kreis?,V691,,Daugavpils novads,Demenes pagasts,
Austrumi,12663,536,56.6016367,26.3350344,Lab?,P62,,Madonas novads,M?trienas pagasts,
Austrumi,12641,536,56.60177,26.33426,Kreis?,P62,,Madonas novads,M?trienas pagasts,
Austrumi,12726,541,56.6702355,25.3525853,A/V,V996,,Kokneses novads,Kokneses pagasts,
Autoosta,15352,5602,56.3498653,25.5563385,A/V,,Biržu iela 2,Vies?tes novads,Vies?tes pils?ta,Vies?te
Autoosta,15353,5604,57.5087013,24.7213691,Lab?,,Stacijas iela,Limbažu novads,Limbažu pils?ta,Limbaži
Auzi?as,15354,5605,56.7842115,23.0186767,Lab?,P104,,Jaunpils novads,,
Auzi?as,14346,3620,56.7828434,23.0186653,Kreis?,P104,,Jaunpils novads,Jaunpils pagasts,
Aviators,13190,1079,56.7241279,24.2137395,Lab?,V27,,?ekavas novads,?ekavas pagasts,Dz?rumi
Aviators,13191,1079,56.7250828,24.2119395,Kreis?,V27,,?ekavas novads,?ekavas pagasts,Dz?rumi
Avoti,14000,2897,56.5595081,23.6558355,Kreis?,V1056,,Jelgavas novads,Sv?tes pagasts,
Avoti,14001,2897,56.560122,23.6565514,Lab?,V1056,,Jelgavas novads,Sv?tes pagasts,Sv?te
Avoti?i,8451,183,56.577715,23.3591197,Kreis?,V1098,,Dobeles novads,Krim?nu pagasts,
Avoti?i,8449,183,56.5786584,23.3574199,Lab?,V1098,,Dobeles novads,Krim?nu pagasts,
Avoti?i,8427,181,56.4945236,23.5505712,Lab?,V1098,,Jelgavas novads,Za?enieku pagasts,
b/n,15355,5608,56.7525593,24.784342,Lab?,,Lielv?rdes iela,?eguma novads,Rembates pagasts,Rembate
D?lderi,15356,5609,56.9065407,24.2464791,Lab?,,Getli?u iela,Stopi?u novads,,Rumbula
b/n,15357,5611,56.905367,24.2464541,Kreis?,,Getli?u iela 9,Stopi?u novads,,Rumbula
B/N,15358,,57.0938557,24.5412406,Lab?,,Gaujas iela,In?ukalna novads,Vangažu pils?ta,Vangaži
B/N,15359,,57.0939222,24.5411378,Kreis?,,Gaujas iela,In?ukalna novads,Vangažu pils?ta,Vangaži
B/N,15360,5612,56.8755051,24.1792433,Kreis?,,P?avniekkalna iela,?ekavas novads,?ekavas pagasts,Katlakalns
B/N,15361,5622,56.8755873,24.1787122,Lab?,,P?avniekkalna iela,?ekavas novads,?ekavas pagasts,Katlakalns
b/n,15362,5625,57.8581284,24.35683,Kreis?,,Valdem?ra iela,Salacgr?vas novads,Ainažu pils?ta,Ainaži
b/n,15363,5641,57.858543,24.3570757,Lab?,,Valdem?ra iela,Salacgr?vas novads,Ainažu pils?ta,Ainaži
b/n,15364,5646,56.9659893,23.1541608,Kreis?,,Br?v?bas laukums,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15365,,56.9681556,23.1862214,Kreis?,,Durbes iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15366,,56.9682934,23.1857861,Lab?,,Durbes iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15367,5651,56.9712148,23.1538949,Lab?,,Kurzemes iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15368,5652,56.9687484,23.1852832,Kreis?,,L. Dzelzce?a iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15369,5654,56.9683939,23.1395611,Lab?,,Revol?cijas iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15370,5656,56.9577198,23.1599913,Kreis?,,R?pniec?bas iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15371,5660,56.9672402,23.1470795,Kreis?,,Talsu iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15372,5683,56.9518426,23.1251278,Lab?,,Tehnikas iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15373,5684,56.952158,23.1252175,Kreis?,,Tehnikas iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15374,5686,56.9641704,23.1300539,Kreis?,,Tirgus iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15375,5687,56.9642471,23.1303584,Lab?,,Tirgus iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15376,5693,56.9661679,23.1232705,Lab?,,Ve??u iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15377,5696,56.9662641,23.1233173,Kreis?,,Ve??u iela,Tukuma novads,Tukuma pils?ta,Tukums
b/n,15378,5702,57.3861728,24.4116447,Lab?,,,Limbažu novads,Skultes pagasts,V?rzas
b/n,15379,5708,57.5139591,24.7160616,Kreis?,,C?su iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15380,5709,57.5195387,24.7172157,Kreis?,,Ciema iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15381,5722,57.5197574,24.7171441,Lab?,,Ciema iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15382,5724,57.5142958,24.7159388,Kreis?,,Dailes iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15383,5732,57.508042,24.7113842,Lab?,,Sporta iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15384,5740,57.509026,24.7095091,Kreis?,,Sporta iela,Limbažu novads,Limbažu pils?ta,Limbaži
b/n,15385,5745,56.7772929,24.6486079,Kreis?,,Uzvaras iela,Ogres novads,Ogresgala pagasts,Ciemupe
b/n,15386,5747,56.7986172,24.6339242,Kreis?,,Lazdu gatve,Ogres novads,Ogres pils?ta,Ogre
b/n,15387,5748,56.8592129,24.3723188,Kreis?,,Dienvidu iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15388,5748,56.8594204,24.3714562,Lab?,,Dienvidu iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15389,5749,56.8603144,24.3654704,Kreis?,,Dienvidu iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15390,5749,56.8605066,24.3652047,Lab?,,Dienvidu iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15391,5750,56.8534214,24.3317273,Kreis?,,Ener??ti?u iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15392,5753,56.856553,24.3546889,Lab?,,Gaismas iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15393,5753,56.8565668,24.3552381,Kreis?,,Gaismas iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15394,,56.8692421,24.3498358,Lab?,,Meža iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15395,,56.868419,24.3853683,Lab?,,Miera iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15396,5758,56.8558904,24.3351568,Lab?,,Zin?bu iela,Salaspils novads,Salaspils pils?ta,Salaspils
b/n,15397,5761,56.8393831,24.499823,Kreis?,,Skolas iela,Ikš?iles novads,Ikš?iles pils?ta,Ikš?ile
b/n,15398,5761,56.8397042,24.4998857,Lab?,,Skolas iela,Ikš?iles novads,Ikš?iles pils?ta,Ikš?ile
b/n,15399,5766,56.889471,24.0576636,Lab?,,Vecozolu iela,M?rupes novads,,T?raine
b/n,15400,5769,56.8896828,24.0563466,Kreis?,,Vecozolu iela,M?rupes novads,,T?raine
b/n,15401,,56.9156465,24.607994,Kreis?,,,Ropažu novads,,K?kciems
b/n,15402,,56.9159426,24.6088042,Lab?,,,Ropažu novads,,K?kciems
b/n,15403,5776,57.1577144,24.8519416,Kreis?,,Pils iela,Siguldas novads,Siguldas pils?ta,Sigulda
b/n,15404,5776,57.1580643,24.8519384,Lab?,,Pils iela,Siguldas novads,Siguldas pils?ta,Sigulda
B/N,15405,5790,57.0730545,24.3325784,Lab?,,Attekas iela,?dažu novads,,?daži
B/N,15406,5796,57.0732144,24.3325901,Kreis?,,Attekas iela,?dažu novads,,?daži
B/N,15407,5797,57.0901159,24.3544636,Lab?,,Kadagas ce?š,?dažu novads,,Kadaga
B/N,15408,5801,57.0906233,24.3561672,Kreis?,,Kadagas ce?š,?dažu novads,,Kadaga
b/n,15409,5810,56.9531947,23.5215706,Lab?,,Jaun?emeru ce?š,J?rmala,,
b/n,15410,5810,56.9534918,23.5218247,Kreis?,,Jaun?emeru ce?š,J?rmala,,
b/n,15411,5818,56.9373289,23.6500626,Lab?,,Mežmalas iela,J?rmala,,
b/n,15412,5820,56.9381142,23.6493398,Kreis?,,Mežmalas iela,J?rmala,,
b/n,14418,3711,56.7182224,24.7982031,Kreis?,A6,,Lielv?rdes novads,Lielv?rdes pils?ta,Lielv?rde
