Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
Zut?ni,6580,5156,56.8663429,22.4521136,A/V,V1298,,Saldus novads,Š??des pagasts,
Fl?žu cehs,6581,5157,56.68043,22.528769,Lab?,V1152,B?rz?ju iela ,Broc?nu novads,Cieceres pagasts,Emburga
Fl?žu cehs,6582,5157,56.6804652,22.5288489,Kreis?,V1152,B?rz?ju iela ,Broc?nu novads,Cieceres pagasts,Emburga
Rennes,6583,5158,56.6893576,22.5332174,Lab?,V1152,,Broc?nu novads,Cieceres pagasts,
Rennes,6584,5158,56.6899162,22.5336261,Kreis?,V1152,,Broc?nu novads,Cieceres pagasts,
Imantas,6585,5159,56.6457111,22.5847895,A/V,V1156,,Broc?nu novads,Cieceres pagasts,Lielciecere
??i,6587,5160,56.6337271,22.5109205,Kreis?,V1158,,Saldus novads,Novadnieku pagasts,
Zvejnieki,6588,5161,56.6137829,22.5315693,Kreis?,V1158,,Saldus novads,Zv?rdes pagasts,
D?rzi?i,6589,5163,57.5753395,25.1695714,Lab?,V166,,Koc?nu novads,Zil?kalna pagasts,
D?rzi?i,6590,5163,57.5757523,25.1687241,Kreis?,V166,,Koc?nu novads,Zil?kalna pagasts,
Stri?i,6591,5164,56.5977607,22.5127122,A/V,V1158,,Saldus novads,Zv?rdes pagasts,Stri?i
V?toli,6592,5165,56.4054352,22.3808628,Lab?,V1160,,Saldus novads,Ezeres pagasts,
V?toli,6593,5165,56.4054786,22.3813396,Kreis?,V1160,,Saldus novads,Ezeres pagasts,
Pekši,6594,5166,56.411907,22.4212868,Lab?,V1160,,Saldus novads,Ezeres pagasts,
Pekši,6595,5166,56.411874,22.4217019,Kreis?,V1160,,Saldus novads,Ezeres pagasts,
Egl?tes,6596,5167,56.41256,22.4442584,Lab?,V1160,,Saldus novads,Ezeres pagasts,
Egl?tes,6597,5167,56.4125606,22.4442633,Kreis?,V1160,,Saldus novads,Ezeres pagasts,
Tarz?ni,6600,5169,56.4084402,22.4949849,Lab?,V1160,,Saldus novads,Rubas pagasts,
Tarz?ni,6601,5169,56.4082643,22.4958108,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Rozes skola,6602,5170,56.4054104,22.5169618,Lab?,V1160,,Saldus novads,Rubas pagasts,
Rozes skola,6603,5170,56.4052425,22.5172892,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Druvas pagrieziens,6604,5171,56.3962905,22.5560796,Lab?,V1160,,Saldus novads,Rubas pagasts,
Druvas pagrieziens,6605,5171,56.39581,22.5571405,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Vecrubas,6606,5172,56.394713,22.5633389,Lab?,V1160,,Saldus novads,Rubas pagasts,
Vecrubas,6607,5172,56.3946474,22.5646074,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Mežrubas,6608,5173,56.3917694,22.5888782,Lab?,V1160,,Saldus novads,Rubas pagasts,
Mežrubas,6609,5173,56.3916552,22.589271,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Rubas skola,6610,5174,56.3885958,22.6050656,Lab?,V1160,,Saldus novads,Rubas pagasts,
Rubas skola,6611,5174,56.3882604,22.606154,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Ruba,6613,5175,56.3812221,22.630652,A/V,V1160,,Saldus novads,Rubas pagasts,Ruba
J??muiža,6615,5176,56.3778863,22.6537694,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Jaunbirzes,6616,5177,56.3775377,22.6724867,Lab?,V1160,,Saldus novads,Rubas pagasts,
Jaunbirzes,6617,5177,56.3775489,22.67313,Kreis?,V1160,,Saldus novads,Rubas pagasts,
Makši,6618,5178,56.3778471,22.6877191,Lab?,V1160,,Saldus novads,Vadakstes pagasts,
Makši,6619,5178,56.377809,22.6877435,Kreis?,V1160,,Saldus novads,Vadakstes pagasts,
Dzirnavas,6620,5179,56.3768394,22.720812,Lab?,V1160,,Saldus novads,Vadakstes pagasts,
Dzirnavas,6621,5179,56.3768455,22.7207775,Kreis?,V1160,,Saldus novads,Vadakstes pagasts,
Vadakste,6622,5180,56.3762137,22.747126,Lab?,V1160,,Saldus novads,Vadakstes pagasts,Vadakste
Vadakste,6623,5180,56.3761216,22.7466638,Kreis?,V1160,,Saldus novads,Vadakstes pagasts,Vadakste
K?dras,6624,5183,56.5171653,22.2961059,Lab?,V1163,,Saldus novads,Kurs?šu pagasts,
K?dras,6625,5183,56.5171792,22.2961478,Kreis?,V1163,,Saldus novads,Kurs?šu pagasts,
Kalnenieki,6626,5184,56.5183758,22.3373256,Lab?,V1163,,Saldus novads,Kurs?šu pagasts,
Kalnenieki,6627,5184,56.5183359,22.3377233,Kreis?,V1163,,Saldus novads,Kurs?šu pagasts,
Kare?i,6629,5187,56.4745458,22.229816,Lab?,V1164,Avotu iela ,Saldus novads,Za?as pagasts,Kare?i
Kare?i,6630,5187,56.4748153,22.2296247,Kreis?,V1164,Avotu iela ,Saldus novads,Za?as pagasts,Kare?i
Atvases,6631,5191,56.4511943,22.0955575,Lab?,V1168,,Saldus novads,N?grandes pagasts,
Atvases,6632,5191,56.4511902,22.0955195,Kreis?,V1168,,Saldus novads,N?grandes pagasts,
B?tn?ri,6635,5194,56.6662513,22.4331281,Lab?,P105,,Saldus novads,Zir?u pagasts,B?tn?ri
B?tn?ri,6636,5194,56.6662292,22.432888,Kreis?,P105,,Saldus novads,Zir?u pagasts,B?tn?ri
MRS,6637,5195,56.6494685,22.4662656,Lab?,V1180,,Saldus novads,Novadnieku pagasts,
